QID6 - Consent to,,,,,,,,,,,,
Answer,,,,,,,,,,,,
"It would be beneficial to map spawning habitat where aggregations of spawning Cisco are found.  On Lake Superior, we have declining frequency and amplitude of Cisco recruitment events over the past 40 years. A better understanding of spawning habitat and behavior could assist in identifying causes of recruitment failure. ",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"QID22 - 8. If you chose sonar detection of groupings of fish, which groupings of fish are of interest to you and any stakeholders you may represent? (select all that apply)",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Answer,%,Count,,,,,,,,,,
,,,,,,,,,,,,
Lake trout,15.50%,42,,,,,,,,,,
,,,,,,,,,,,,
Lake whitefish,14.02%,38,,,,,,,,,,
,,,,,,,,,,,,
Yellow perch,11.07%,30,,,,,,,,,,
,,,,,,,,,,,,
Walleye,13.28%,36,,,,,,,,,,
,,,,,,,,,,,,
Lake sturgeon,13.65%,37,,,,,,,,,,
,,,,,,,,,,,,
Pacific salmon,9.23%,25,,,,,,,,,,
,,,,,,,,,,,,
Alewives,9.96%,27,,,,,,,,,,
,,,,,,,,,,,,
Sea lamprey,8.12%,22,,,,,,,,,,
,,,,,,,,,,,,
Other (please specify),5.17%,14,,,,,,,,,,
,,,,,,,,,,,,
Total,100%,271,,,,,,,,,,
,,,,,,,,,,,,
Other (please specify),,,,,,,,,,,,
,,,,,,,,,,,,
Other (please specify) - Text,,,,,,,,,,,,
,,,,,,,,,,,,
Steelhead,,,,,,,,,,,,
,,,,,,,,,,,,
brook trout ,,,,,,,,,,,,
,,,,,,,,,,,,
"Bloater, Cisco, eels, round gobies",,,,,,,,,,,,
,,,,,,,,,,,,
Coregonids,,,,,,,,,,,,
,,,,,,,,,,,,
Steelhead and Coaster brook trout,,,,,,,,,,,,
,,,,,,,,,,,,
NA applicable to my inland fishery position,,,,,,,,,,,,
,,,,,,,,,,,,
Cisco Sp.,,,,,,,,,,,,
,,,,,,,,,,,,
Cisco,,,,,,,,,,,,
,,,,,,,,,,,,
other pelagic planktivores such as smelt/bloaters/etc,,,,,,,,,,,,
,,,,,,,,,,,,
Cisco,,,,,,,,,,,,
,,,,,,,,,,,,
Cisco,,,,,,,,,,,,
,,,,,,,,,,,,
Cisco - Coregonus artedi,,,,,,,,,,,,
,,,,,,,,,,,,
brook trout,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"QID27 - 9. If you chose images/video, what specifically do you think would be most important to capture in images/video?",,,,,,,,,,,,
,,,,,,,,,,,,
"9. If you chose images/video, what specifically do you think would be most important to capture in images/video?",,,,,,,,,,,,
,,,,,,,,,,,,
"Lamprey attachment occurrence information would be helpful to me, along with behavioral images from spawning aggregations and other times of the season.  Where in the water column do we see different types of fish during the year.   Always on the bottom, always suspended, both?",,,,,,,,,,,,
,,,,,,,,,,,,
Evidence of spawning behavior or egg deposition,,,,,,,,,,,,
,,,,,,,,,,,,
Fish movement; feeding; spawning; types of substrates and colonization by any invasive species.,,,,,,,,,,,,
,,,,,,,,,,,,
The bottom,,,,,,,,,,,,
,,,,,,,,,,,,
We have started to consider using video and images to index adult walleye abundance during the spawn.,,,,,,,,,,,,
,,,,,,,,,,,,
"As noted above, images and video can be very informative (we collect many hours of footage every year) but they are generally designed around specific questions that require user intervention (stop, slow, zoom, pan, rotate, etc) that I can‰Ûªt see happening in a super valuable way with an AUV on a programmed course (constant speed and course). Also within habitats characterization, in a general way in guess I figured there would be some recording of basic features (likely with video). What other attributes would be considered: bathymetry, substrate classification (size, hardness, poreosity, mussels / epibenthos, macrophyte density & height (and type), etc",,,,,,,,,,,,
,,,,,,,,,,,,
Any video work needs to be highly targeted. Thousands of hours of underwater footage is very boring.,,,,,,,,,,,,
,,,,,,,,,,,,
"Group size, species identification, and behaviors (space use during migratory movements).",,,,,,,,,,,,
,,,,,,,,,,,,
"spawning, feeding, schooling behavior",,,,,,,,,,,,
,,,,,,,,,,,,
